Date,Turtle,Loc_ID,Profile_ID,Size_ID,R_ID,Cap_ID,Pit_ID
5/25/2010,22.012,7,9,120,15,6,113911447A
6/23/2010,22.013,7,6,121,29,6,113911447A
6/26/2010,22.014,7,26,122,82,6,113911447A
6/14/2011,22.015,6,6,123,34,6,113911447A
6/17/2011,22.016,6,6,123,34,6,113911447A
6/23/2011,22.017,6,6,123,49,6,113911447A
5/21/2013,22.018,36,24,124,83,6,113911447A
8/28/2013,22.019,37,5,125,84,6,113911447A
7/22/2014,22.02,21,5,126,43,11,113911447A
7/10/1997,23.001,5,29,127,69,7,113914110A
6/1/2002,23.002,4,5,128,9,13,113914110A
8/3/2003,23.003,2,4,129,9,5,113914110A
7/19/2006,23.004,36,24,130,14,6,113914110A
8/5/2008,23.005,30,24,131,14,6,113914110A
7/25/2014,23.006,21,5,132,43,9,113914110A
9/22/2002,24.001,2,26,133,85,1,113915295A
9/28/2002,24.002,2,4,134,86,2,113915295A
6/21/2004,24.003,2,4,135,87,5,113915295A
6/25/2004,24.004,2,30,136,88,5,113915295A
6/14/1997,25.001,5,21,137,89,7,113915352A
6/16/1997,26.001,5,31,138,69,7,113916174A
7/9/2004,27.001,2,32,139,9,4,113918173A
7/11/2004,27.002,2,2,140,9,5,113918173A
7/18/2006,27.003,36,16,141,14,6,113918173A
7/21/2011,27.004,38,33,142,90,6,113918173A
7/7/2015,27.005,39,5,143,60,6,113918173A
7/9/2015,27.006,39,11,144,91,6,113918173A
7/14/2015,27.007,40,11,145,92,6,113918173A
7/16/2015,27.008,41,1,146,93,6,113918173A
7/5/2004,28.001,2,4,147,9,1,113923253A
8/14/2004,28.002,2,4,148,9,5,113923253A
8/29/2006,28.003,5,5,149,11,6,113923253A
6/14/1997,29.001,5,4,150,94,7,113924685A
6/28/1998,29.002,5,5,151,95,6,113924685A
8/15/2002,29.003,16,4,152,96,6,113924685A
7/12/2003,29.004,2,4,153,97,2,113924685A
7/19/2003,29.005,2,4,154,38,6,113924685A
9/26/2004,29.006,2,4,155,9,2,113924685A
8/5/2008,29.007,42,24,156,14,6,113924685A
6/17/2011,29.008,14,4,157,34,6,113924685A
7/13/2011,29.009,15,4,158,98,6,113924685A
5/21/2013,29.01,12,4,159,99,6,113924685A
8/28/2013,29.011,43,5,160,84,6,113924685A
7/23/2014,29.012,21,5,161,100,14,113924685A
6/15/1997,30.001,5,34,162,69,7,113925235A
8/14/2004,31.001,2,20,163,9,15,113927353A
7/24/2004,32.001,2,35,164,9,4,113928531A
6/27/1997,33.001,5,4,165,69,7,113929517A
7/8/2015,33.002,5,5,166,101,6,113929517A
6/26/1997,34.001,5,27,167,69,7,113931357A
9/6/2001,35.001,5,5,168,102,7,113932796A
7/19/2006,35.002,44,8,169,14,6,113932796A
7/15/2008,35.003,45,8,170,14,6,113932796A
8/5/2008,35.004,42,24,171,14,6,113932796A
6/10/2011,35.005,14,4,172,33,6,113932796A
9/16/2004,36.001,2,2,173,9,15,113937152A
5/21/2013,36.002,12,8,174,83,6,113937152A
7/22/2013,36.003,46,11,175,17,6,113937152A
8/28/2014,36.004,5,8,176,103,6,113937152A
7/9/2015,36.005,23,11,177,67,6,113937152A
