Date,Turtle,Trap_Type,Species,Pit_ID,New_Recap,Sex,Age,Mass,Carapace_L,Carapace_W,Carapace_H,Plastron_L,Pond,Pond_Loc,Bait_Type,Notes,Observer
8/3/2004,39.002,bask-m,Cp,113938692A,R,F,W,299,130,98,52,124,ALM,BMI,NULL,NULL,Karrmann
9/14/1996,40.001,Hoop,Cp,113965571A,N,F,NULL,NULL,133,100,NULL,NULL,ALM,"Arthur's Inlet",NULL,"pit added on 03 JUN 03",Brady
6/19/1997,40.002,Hoop,Cp,113965571A,R,F,6,310,NULL,NULL,NULL,128,ALM,NULL,NULL,"previously notched 0-4-5",McKinsey
9/16/2004,40.003,bask-m,Cp,113965571A,R,F,W,341,145,107,44,137,ALM,BMI,NULL,NULL,Karrmann
7/19/2006,40.004,Hoop,Cp,113965571A,R,F,A,352,147,109,49,138,ALM,"Picnic Rock",NULL,NULL,NULL
9/21/1996,41.001,Hoop,Cp,113966632A,N,F,NULL,NULL,138,103,NULL,NULL,ALM,"Arthur's Inlet",NULL,"pit added 02 JUN 03",Brady
6/13/1997,41.002,Hoop,Cp,113966632A,R,F,W,340,NULL,NULL,NULL,135,ALM,NULL,NULL,"previously notched 10-10",McKinsey
6/14/1997,42.001,Hoop,Cp,113967334A,N,F,6,360,NULL,NULL,NULL,133,ALM,NULL,NULL,NULL,McKinsey
7/15/2003,42.002,Hoop,Cp,113967334A,R,F,NULL,365,140,106,49,132,ALM,BMI,NULL,"natural notch on L8",Karrmann
7/17/2004,42.003,Hoop,Cp,113967334A,R,F,W,366,140,104,50,133,ALM,"INLET QUARY",NULL,"TWO TRAPS- THREE TURTLES","Karrmann/ Schuster"
9/16/2004,42.004,bask-m,Cp,113967334A,R,F,W,369,139,106,44,132,ALM,BMI,NULL,NULL,Karrmann
7/27/2011,42.005,Hoop,Cp,113967334A,R,F,W,390,143,107,50,132,ALM,beach,NULL,NULL,"MV- CR"
5/21/2013,42.006,Hoop,Cp,113967334A,R,F,W,402,143,105,51,133,ALM,"Dam Cove",NULL,NULL,"MM- NYU"
8/25/2015,42.007,Hoop,Cp,113967334A,R,N/A,A,424,104,141,NULL,130,ALM,NULL,NULL,NULL,NULL
6/22/2002,43.001,bask-p,Cp,113967750A,R,M,8+,202,120,90,41,108,ALM,"Arthur's Inlet",NULL,NULL,Karrmann
9/15/2002,43.002,bask-p,Cp,113967750A,R,M,W,211,119,89,41,109,ALM,BMI,NULL,NULL,Karrmann
9/22/2002,43.003,bask-p,Cp,113967570A,N,F,11+,240,122,98,44,115,ALM,BMI,NULL,NULL,Karrmann
10/13/2002,43.004,bask-p,Cp,113967750A,R,M,W,208,119,89,41,109,ALM,BMI,NULL,NULL,Karrmann
8/7/2004,43.005,snrkl,Cp,113967570A,R,F,7+,303,131,105,47,125,ALM,BMI,NULL,NULL,Karrmann
8/24/2004,43.006,bask-m,Cp,113967750A,R,M,-,215,120,88,40,119,ALM,BMI,NULL,NULL,Munson
9/1/2004,43.007,bask-m,Cp,113967750A,R,M,W,206,121,91,42,111,ALM,BMI,NULL,NULL,Karrmann
9/16/2004,43.008,bask-m,Cp,113967570A,R,F,8+,286,131,105,45,125,ALM,BMI,NULL,NULL,Karrmann
10/7/2004,43.009,bask-p,Cp,113967570A,R,F,7+,290,132,106,46,125,ALM,BMI,NULL,NULL,Karrmann
7/19/2006,43.01,Hoop,Cp,113967750A,R,M,J,125,124,90,42,115,ALM,"West Side",NULL,NULL,NULL
8/5/2008,43.011,Hoop,Cp,113967750A,R,M,A,240,126,89,41,113,ALM,"Dam Side",NULL,NULL,NULL
5/18/2011,43.012,Hoop,NULL,113967750A,R,M,NULL,NULL,125,92,45,114,ALM,inlet,NULL,NULL,MM
5/24/2011,43.013,Hoop,Cp,113967750A,R,M,NULL,239,124,91,41,103,ALM,Cove,NULL,NULL,MM
8/3/2004,44.001,Hoop,Cp,113968222A,N,F,W,319,132,106,47,126,ALM,BMI,NULL,"1 BASS- 1 SUNFISH",Karrmann
9/26/2004,44.002,bask-p,Cp,113968222A,R,F,W,316,132,104,49,126,ALM,BMI,NULL,NULL,Karrmann
9/14/1996,45.001,Hoop,Cp,113968557A,N,F,NULL,NULL,NULL,NULL,NULL,NULL,ALM,"South End",NULL,"PIT # added 02 JUN 03 MIGRANT - JIM 16 JUN 96",Brady
6/20/1997,45.002,Hoop,Cp,113968557A,R,F,6,310,NULL,NULL,NULL,131,ALM,NULL,NULL,"previously notched",McKinsey
7/30/2000,45.003,Hoop,Cp,113968557A,R,F,NULL,NULL,150,110,50,NULL,ALM,"Arthur's Inlet",NULL,"VS top segment center line off axis (see AH notebook) PIT # added 02 JUN 03",CERC
7/24/2002,45.004,Hoop,Cp,113968557A,R,F,W,349,148,109,48,136,ALM,"Dam NW corner",NULL,NULL,Karrmann
5/10/2003,45.005,Hoop,Cp,113968557A,R,F,W,371,147,110,50,136,ALM,"Swamp Trail Inlet",NULL,NULL,Karrmann
7/15/2003,45.006,Hoop,Cp,113968557A,R,F,NULL,360,147,109,49,136,ALM,BMI,NULL,NULL,Karrmann
8/24/2003,45.007,snrkl,Cp,113968557A,R,F,W,394,148,110,51,137,ALM,"SE corner",NULL,NULL,Karrmann
7/19/2006,45.008,Hoop,Cp,113968557A,R,F,J,136,148,104,48,140,ALM,"Swamp Trail Inlet",NULL,NULL,NULL
7/21/2004,46.001,hoop,Cp,113969143A,N,M,worn,216,125,94,42,115,UPR,"south cove",NULL,"FRONT RIGHT FOOT MISSING-LEG BONE HAVE NO MUSCLE- COVERED WITH SKIN.  115128656A FOUND IN SYRING",Karrmann
7/26/2013,46.002,Hoop,Cp,113969143A,R,M,NULL,255,126,94,45,121,BSP,NULL,NULL,NULL,Falk/Florio
7/20/2004,47.001,bask-m,Cp,113969180A,N,F,W,374,145,109,50,134,ALM,BMI,NULL,L4?,Karrmann
8/14/2004,48.001,bask-m,Cp,113969273A,N,F,W,388,147,108,51,147,ALM,BMI,NULL,"MUMPS ON RIGHT SIDE",Karrmann
6/13/1997,49.001,Hoop,Cp,113969517A,N,M,W,200,NULL,NULL,NULL,107,ALM,NULL,NULL,NULL,McKinsey
6/27/2004,50.001,snrkl,Cp,113969632A,N,F,W,408,114,108,55,140,ALM,BMI,NULL,-,Karrmann
7/10/2015,51.001,Hoop,Css,113973116A,R,M,NULL,NULL,358,313,146,253,SUT,East,NULL,Sardines,SSC
6/21/1997,52.001,Hoop,Cp,113976134A,N,F,W,230,NULL,NULL,NULL,130,ALM,NULL,NULL,"previously notched - later recorded as L2-6 R4",McKinsey
8/15/2003,52.002,Hoop,Cp,113976134A,R,F,W,362,144,109,49,134,ALM,BMI,NULL,"Turtles observed basking first recorded as L2- R4",Karrmann
7/22/2006,52.003,Hoop,Cp,113976134A,R,F,W,375,140,106,46,133,ALM,NULL,NULL,"Pitted Plastron- 1 pit on Carapace","WS - Team Turtle"
7/22/2013,52.004,Hoop,Cp,113976134A,R,F,NULL,392,146,110,51,136,ALM,INLET,NULL,NULL,Falk/Florio
7/17/2014,52.005,NULL,Cp,113976134A,R,F,NULL,385,145,105,50,132,NULL,NE,NULL,NULL,"EM- SSC"
7/22/2014,52.006,NULL,Cp,113976134A,R,F,NULL,375,145,107,50,137,NULL,E,Catfood,NULL,"EM- SSC"
7/14/2015,52.007,Hoop,Cp,113976134A,R,F,10+,393,145,102,48,137,ALM,East,NULL,"cloaca - 11.37- Tail - 43.80",NULL
7/12/1997,53.001,Hoop,Cp,113976335A,N,?,W,450,NULL,NULL,NULL,149,ALM,NULL,NULL,"both front feet gone",McKinsey
6/25/1997,54.001,Hoop,Cp,114409227A,N,F,W,320,NULL,NULL,NULL,135,ALM,NULL,NULL,NULL,McKinsey
6/30/1997,54.002,Hoop,Cp,114409227A,R,F,W,320,NULL,NULL,NULL,135,ALM,NULL,NULL,NULL,McKinsey
9/16/2004,54.003,bask-p,Cp,114409227A,R,F,W,347,138,106,47,136,ALM,BMI,NULL,Shedding,Karrmann
8/14/2004,55.001,Hoop,Cp,114411137A,N,F,W,342,147,110,49,137,ALM,BMI,NULL,NULL,Karrmann
9/14/1996,56.001,Hoop,Cp,114414485A,N,M,NULL,NULL,125,98,NULL,NULL,ALM,"Arthur's Inlet",NULL,"PIT added 14 OCT 03",Brady
8/3/1997,56.002,Hoop,Cp,114414485A,R,M,W,250,NULL,NULL,NULL,124,ALM,NULL,NULL,NULL,McKinsey
6/3/2002,56.003,Hoop,Cp,114414485A,R,M,NULL,250,126,97,NULL,NULL,ALM,"Swamp Trail Inlet",NULL,NULL,Munson
5/21/2013,56.004,Hoop,Cp,114414485A,R,M,A,394,132,97,44,122,ALM,"Dam Cove",NULL,NULL,"MM- NYU"
8/27/2015,56.005,Hoop,Cp,114414485A,R,M,A,280,131,99,NULL,124,ALM,NULL,NULL,NULL,NULL
6/14/1997,57.001,Hoop,Cp,114417466A,N,M,W,255,NULL,NULL,NULL,123,ALM,NULL,NULL,NULL,McKinsey
7/5/2004,58.001,Hoop,Cp,114421513A,N,M,6,109,92,73,35,87,ALM,BMI,NULL,resest,Karrmann
7/18/2006,58.002,Hoop,Cp,114421513A,R,M,J,150,103,80,40,100,ALM,"Dam -- NW Corner",NULL,NULL,NULL
7/29/2010,58.003,Hoop,Cp,114421513A,R,M,6,166,113,84,38,106,ALM,Damside,NULL,NULL,NULL
6/14/2011,58.004,Hoop,Cp,114421513A,R,M,4+,176,113,81,37,116,ALM,dock,NULL,NULL,"MV- JS. SG"
6/22/2011,58.005,Hoop,Cp,114421513A,R,M,5,173,113,84,49,105,ALM,dock,NULL,NULL,"MV- PW"
7/13/2011,58.006,Hoop,Cp,114421513A,R,M,W,175,110,80,40,107,ALM,"sweet spot",NULL,NULL,MM
5/21/2013,58.007,Hoop,Cp,114421513A,R,M,A,196,114,86,47,114,ALM,"Picnic Rock",NULL,NULL,"MM- NYU"
7/22/2013,58.008,Hoop,Cp,1144215134A,R,M,NULL,203,118,85,43,110,ALM,INLET,NULL,NULL,Falk/Florio
7/8/2015,58.009,Hoop,Cp,114421513A,R,M,NULL,220,120,81,40,113,ALM,NULL,NULL,Catfood,"SSC - Ed"
6/13/1997,59.001,Hoop,Cp,114459123A,N,F,W,320,NULL,NULL,NULL,129,ALM,NULL,NULL,NULL,McKinsey
9/28/2002,60.001,bask-p,Cp,114463132A,N,M,4,133,97,77,38,84,ALM,BMI,NULL,NULL,Karrmann
7/27/2004,60.002,bask-p,Cp,114463132A,R,M,7+,133,100,80,38,88,ALM,BMI,NULL,"PH 6.8-6.9 PLASTRON DEFORMED",Karrmann
6/14/1997,61.001,Hoop,Cp,114463271A,N,F,W,340,NULL,NULL,NULL,134,ALM,NULL,NULL,NULL,McKinsey
7/30/2000,61.002,Hoop,Cp,114463271A,R,F,NULL,NULL,140,90,50,NULL,ALM,"Swamp Trail Inlet",NULL,NULL,CERC
7/31/2000,61.003,Hoop,Cp,114463271A,R,F,NULL,NULL,140,90,50,NULL,ALM,"Dam NW corner",NULL,NULL,CERC
6/16/1997,62.001,Hoop,Cp,114465332A,N,F,W,370,NULL,NULL,NULL,136,ALM,NULL,NULL,"Originally L9- R0; notches changed 15-Aug-02",McKinsey
8/15/2002,62.002,bask-p,Cp,114465332A,R,F,NULL,NULL,145,113,51,136,ALM,BMI,NULL,"Old and worn L2- L9- L10 notches",Karrmann
8/28/2014,62.003,Hoop,Cp,114465332A,R,F,A,420,NULL,NULL,NULL,NULL,ALM,NULL,NULL,NULL,"SRMP TEAM 2014"
6/25/2004,63.001,snrkl,Cp,114465343A,N,F,8+,325,134,98,49,125,ALM,BMI,NULL,"PARTIAL BLOTCHING",Karrmann
7/9/2004,63.002,snrkl,Cp,114465343A,R,F,W,329,135,100,46,127,ALM,BMI,NULL,"13L marginal 12 R marginals blood was taken",Karrmann
8/14/2004,63.003,Hoop,Cp,114465343A,R,F,9+,312,135,100,49,127,ALM,BMI,NULL,NULL,Karrmann
7/22/2006,63.004,Hoop,Cp,114465343A,R,F,6+,335,137,99,49,129,ALM,NULL,NULL,NULL,"WS - Team Turtle"
5/25/2010,63.005,Hoop,Cp,114465343A,R,F,W,362,141,110,51,132,ALM,"Boat Launch",NULL,"Chin Injury","NYU-ECE w/ MM"
7/24/2004,64.001,bask-p,Cp,114472174A,N,F,67,117,92,79,35,88,ALM,BMI,NULL,NULL,Karrmann
7/19/2006,64.002,Hoop,Cp,114472174A,R,M,J,180,105,86,45,100,ALM,"Arthur's Inlet",NULL,NULL,NULL
6/10/2011,64.003,Hoop,Cp,114472174A,R,M,6+,266,128,101,45,123,ALM,damside,NULL,NULL,"MV- JS- RC- KP- SG"
6/21/2004,65.001,Hoop,Cp,114472331A,N,F,6+,188,113,85,43,109,ALM,BMI,NULL,NULL,Karrmann
8/3/2004,65.002,Hoop,Cp,114472331A,R,F,W,196,114,86,43,111,ALM,BMI,NULL,"1 BASS- 1 SUNFISH- PIT TAG:114472331A",Karrmann
7/18/2006,65.003,Hoop,Cp,114472331A,R,F,A,250,123,90,45,118,ALM,"Dam -- NW Corner",NULL,NULL,NULL
7/22/2006,65.004,Hoop,Cp,114472331A,R,F,5+,258,123,90,48,120,ALM,NULL,NULL,NULL,"WS - Team 2"
8/5/2008,65.005,Hoop,Cp,114472531A,R,F,A,300,131,96,49,127,ALM,"Dam Side",NULL,NULL,NULL
6/15/2010,65.006,Hoop,Cp,114472331A,R,F,W,301,132,95,47,125,ALM,"Dam Cove",NULL,NULL,MV
6/22/2010,65.007,Hoop,Cp,114472331A,R,F,W,311,130,95,51,128,ALM,"Dam Cove",NULL,NULL,WS
7/14/2010,65.008,Hoop,Cp,114472331A,R,F,W,316,133,96,49,127,ALM,"Dam Cove",NULL,NULL,"MV- WS- MM"
7/29/2010,65.009,Hoop,Cp,114472331A,R,F,W,311,133,94,50,129,ALM,Damside,NULL,NULL,"MV- WS- MM"
8/3/2010,65.01,Hoop,Cp,114472331A,R,F,W,321,130,90,50,121,ALM,"Dam Cove",NULL,NULL,MM
5/18/2011,65.011,Hoop,NULL,114472331A,R,F,NULL,NULL,132,96,51,137,ALM,inlet,NULL,NULL,MM
6/10/2011,65.012,Hoop,Cp,114472331A,R,F,W,315,132,95,49,128,ALM,damside,NULL,NULL,"MV- JS- RC- KP- SG"
6/14/2011,65.013,Hoop,Cp,114472331A,R,F,W,NULL,91,72,31,86,ALM,damside,NULL,NULL,"MV- JS. SG"
6/15/2011,65.014,Hoop,NULL,114472331A,R,F,NULL,NULL,91,72,31,86,ALM,damside,NULL,NULL,"MV- JS. SG"
6/17/2011,65.015,Hoop,Cp,114472331A,R,F,NULL,NULL,91,31,72,86,ALM,dock,NULL,NULL,"MV- JS. SG"
6/22/2011,65.016,Hoop,Cp,114472331A,R,F,5+,320,132,99,49,129,ALM,damside,NULL,NULL,"MV- PW"
7/27/2011,65.017,Hoop,Cp,114472331A,R,F,W,319,134,99,51,130,ALM,damside,NULL,NULL,"MV- CR"
5/1/2013,65.018,Hoop,Cp,114472331A,R,F,W,390,135,95,53,133,ALM,damside,NULL,NULL,"MM- Josh Miller's Class"
8/28/2013,65.019,Hoop,Cp,114472331A,R,F,NULL,NULL,126,87,42,122,ALM,"C East",NULL,NULL,"SRMP TEAM 2013"
6/5/2002,66.001,Hoop,Cp,114472630A,N,F,NULL,300,131,96,NULL,NULL,ALM,"Arthur's Inlet",NULL,"tail 43.1mm",Munson
9/22/2002,66.002,bask-p,Cp,114472630A,R,F,W,317,133,99,47,124,ALM,BMI,NULL,"Old notch R2- possible notch L9-10",Karrmann
8/14/2004,66.003,Hoop,Cp,114472630A,R,F,W,NULL,135,100,49,126,ALM,BMI,NULL,NULL,Karrmann
7/22/2014,66.004,NULL,Cp,114472630A,R,F,NULL,325,136,100,47,129,NULL,E,Tuna,NULL,"EM- SSC"
6/30/1997,67.001,Hoop,Cp,114472710A,N,F,7,240,NULL,NULL,NULL,122,ALM,NULL,NULL,NULL,McKinsey
7/31/2000,67.002,Hoop,Cp,114472710A,R,F,NULL,NULL,130,101,48,NULL,ALM,"Dam NW corner",NULL,NULL,CERC
7/9/2004,68.001,bask-p,Cp,114473151A,N,F,W,307,133,103,48,126,ALM,BMI,NULL,"blood was taken",Karrmann
8/3/2004,68.002,snrkl,Cp,114473151A,R,F,W,315,133,103,48,126,ALM,BMI,NULL,NULL,Karrmann
6/15/1997,69.001,Hoop,Cp,114514216A,N,F,W,320,NULL,NULL,NULL,136,ALM,NULL,NULL,NULL,McKinsey
7/1/1997,70.001,Hoop,Cp,114979762A,N,M,W,180,NULL,NULL,NULL,103,ALM,NULL,NULL,NULL,McKinsey
6/9/2001,70.002,Hoop,Cp,114979762A,R,M,NULL,187,112,89,40,NULL,ALM,"Arthur's Inlet",NULL,NULL,Karrmann
7/24/2002,70.003,Hoop,Cp,114979762A,R,M,W,206,116,90,41,109,ALM,"Swamp Trail Inlet",NULL,NULL,Karrmann
9/7/2002,70.004,bask-p,Cp,114979762A,R,M,W,217,116,90,41,109,ALM,BMI,NULL,"Notches old and worn",Karrmann
9/15/2002,70.005,bask-p,Cp,114979762A,R,M,W,210,116,91,41,109,ALM,BMI,NULL,NULL,Karrmann
10/13/2002,70.006,bask-p,Cp,114979762A,R,M,W,220,116,91,41,109,ALM,BMI,NULL,NULL,Karrmann
7/16/2004,71.001,bask-m,Cp,115109111A,N,F,W,302,135,102,50,130,ALM,BMI,NULL,NULL,Karrmann
8/24/2004,71.002,bask-p,Cp,115109111A,R,F,-,323,133,98,51,129,ALM,BMI,NULL,M?,Munson
7/8/2015,71.003,Hoop,Cp,115109111A,R,F,NULL,355,138,97,54,137,ALM,NULL,NULL,Sardines,"SSC - Ed"
7/11/1997,72.001,hoop,Cp,115109154A,N,M,worn,260,NULL,NULL,NULL,125,SUT,NULL,NULL,NULL,McKinsey
7/7/2010,72.002,Hoop,Cp,115109154A,R,M,W,300,143,102,45,130,UPR,"fallen tree",NULL,"migrated from sutherland",NULL
6/2/2011,72.003,Hoop,cpp,115109154A,R,M,worn,297,141,97,46,131,UPR,inlet,NULL,"chip near center of carapace","MV- JS- RC"
7/22/2014,73.001,NULL,Cp,1151093093A,R,M,NULL,265,132,93,46,116,NULL,E,Catfood,NULL,"EM- SSC"
7/17/2004,74.001,Hoop,Cp,115109371A,N,M,W,233,126,98,41,118,ALM,"INLET QUARY",NULL,NULL,"Karrmann/ Schuster"
6/23/2010,74.002,Hoop,Cp,115109371A,R,M,W,241,125,101,39,118,ALM,"Dam Cove",NULL,NULL,"MV- KP"
8/3/2010,74.003,Hoop,Cp,115109371A,R,M,W,243,127,98,45,120,ALM,NULL,NULL,"smal hole in plastron- bottom left over leg. Shedding",MM
6/10/2011,74.004,Hoop,Cp,115109371A,R,M,W,245,128,100,40,120,ALM,damside,NULL,NULL,"MV- JS- RC- KP- SG"
6/15/2011,74.005,Hoop,Cp,115109371A,R,M,W,244,129,98,39,119,ALM,dock,NULL,"hole in plastron","MV- JS. SG"
8/29/2013,74.006,Hoop,Cp,115109371A,R,M,NULL,NULL,116,89,30,109,ALM,A,NULL,NULL,"SRMP TEAM 2013"
7/17/2014,74.007,Hoop,Cp,115109371A,R,M,NULL,265,129,97,42,120,NULL,NE,Sardines,NULL,"EM- SSC"
7/25/2014,74.008,Hoop,Cp,115109371A,R,NULL,NULL,282,128,93,46,121,NULL,E,Catfood,NULL,"EM- SSC"
8/26/2014,74.009,Hoop,Cp,115109371A,R,M,A,260,127,97,48,121,ALM,NULL,NULL,"about a five minute walk to the other side of the reservoir (to the right of the first trap) hole in shell 8 and 9 scute on carapace","SRMP TEAM 2014"
6/15/1997,75.001,Hoop,Cp,115109393A,N,M,6,190,NULL,NULL,NULL,107,ALM,NULL,NULL,"natural; mark between 9 & 10",McKinsey
6/24/2000,75.002,Hoop,Cp,115109393A,R,M,NULL,NULL,114,86,NULL,NULL,ALM,"Dam NW corner",NULL,NULL,Karrmann
7/21/2002,75.003,bask-p,Cp,115109393A,R,M,W,213,120,91,41,112,ALM,"Arthur's Inlet",NULL,"R8 very old- worn notch- L3 possibly natural",Karrmann
5/10/2003,75.004,Hoop,Cp,115109393A,R,M,W,216,121,91,41,112,ALM,"Swamp Trail Inlet",NULL,"mild offset",Karrmann
7/11/2004,75.005,snrkl,Cp,115109393A,R,M,W,234,123,93,42,114,ALM,BMI,NULL,"weight is 234",Karrmann
9/16/2004,75.006,bask-p,Cp,115109393A,R,M,W,225,122,91,42,113,ALM,BMI,NULL,NULL,Karrmann
7/19/2006,75.007,Hoop,Cp,115109393A,R,F,A,235,125,94,46,116,ALM,"Picnic Rock",NULL,NULL,NULL
8/5/2008,75.008,Hoop,Cp,115109393A,R,M,A,260,120,90,52,115,ALM,"Picknic rock",NULL,NULL,NULL
5/25/2010,75.009,Hoop,Cp,115109393A,R,NULL,NULL,242,125,92,42,115,ALM,Cove,NULL,NULL,"NYU-ECE w/ MM"
6/22/2010,75.01,Hoop,Cp,115109393A,R,M,W,238,127,96,42,115,ALM,Cove,NULL,"had leech on neck",WS
6/23/2010,75.011,Hoop,Cp,115109393A,R,M,W,241,127,92,41,115,ALM,Cove,NULL,"has leech x2","MV- KP"
6/26/2010,75.012,Hoop,Cp,115109393A,R,M,W,242,125,92,42,117,ALM,Cove,NULL,NULL,"MV- JB"
7/7/2010,75.013,Hoop,Cp,115109393A,R,M,W,240,125,93,41,116,ALM,"Dam Cove",NULL,feisty,"MV- JB"
7/14/2010,75.014,Hoop,Cp,115109393A,R,M,W,242,126,92,42,115,ALM,Cove,NULL,NULL,MM
6/10/2011,75.015,Hoop,Cp,115109393A,R,M,W,244,125,92,42,115,ALM,dock,NULL,NULL,"RC- KP- SG"
6/15/2011,75.016,Hoop,Cp,115109393A,R,M,W,243,128,92,41,115,ALM,dock,NULL,NULL,"MV- JS. SG"
7/17/2014,75.017,NULL,Cp,115109393A,R,M,NULL,265,129,94,45,119,NULL,NW,Sardines,NULL,"EM- SSC"
7/15/2015,75.018,Hoop,Cp,115109393A,R,M,8+,270,129,90,44,119,ALM,NULL,NULL,"cloaca - 22.02- Tail - 51.75",NULL
7/22/2013,76.001,Hoop,Cp,1151109371A,R,M,NULL,155,123,91,40,120,ALM,INLET,NULL,NULL,Falk/Florio
6/9/2002,77.001,Hoop,Cp,115111337A,N,M,W,265,138,94,44,NULL,ALM,NULL,NULL,"recorded at Science Center- caught a week earlier by John Brady Migrant - in UPR 15 MAY 2004",Karrmann
7/24/2002,77.002,Hoop,Cp,115111337A,R,M,W,263,138,93,44,123,ALM,"Arthur's Inlet",NULL,"Plastron cracked across L1-L2 to R2 and L6 irregular Migrant - in UPR 15 MAY 2004",Karrmann
8/15/2002,77.003,Hoop,Cp,115111337A,R,M,W,266,136,93,44,124,ALM,"Swamp Trail Inlet",NULL,"Scab on neck dorsal Migrant - in UPR 15 MAY 2004",Karrmann
5/4/2003,77.004,Hoop,Cp,115111337A,R,M,W,271,135,92,45,122,ALM,"Dam NW corner",NULL,"Migrant - in UPR 15 MAY 2004",Karrmann
5/15/2004,77.005,hoop,Cp,115111337A,R,M,worn,272,136,94,45,123,UPR,inlet,NULL,"picture- RP5 mangled                                                                                  Migrant - in ALM Jun 02 - May 03",Karrmann
6/13/2004,77.006,hoop,Cp,115111337A,R,M,worn,263,137,94,45,123,UPR,"south cove",NULL,"Migrant - in ALM Jun 02 - May 03",Karrmann
6/18/2004,77.007,bask-m,Cp,115111337A,R,M,worn,270,137,94,45,124,UPR,"south cove",NULL,"R.8-9 Might by natural                                                                             Migrant - in ALM Jun 02 - May 03",Karrmann
6/21/2004,77.008,hoop,Cp,115111337A,R,M,worn,266,137,94,45,123,UPR,"south cove",NULL,"Migrant - in ALM Jun 02 - May 03",Karrmann
7/5/2004,77.009,hoop,Cp,115111337A,R,M,worn,264,137,95,46,123,UPR,"south cove",NULL,"Migrant - in ALM Jun 02 - May 03",Karrmann
9/16/2004,77.01,hoop,Cp,115111337A,R,M,worn,277,137,94,45,122,UPR,"south cove",NULL,"skin flap on base of head/upper neck- pulled back; possibly by net                                                   Migrant - in ALM Jun 02 - May 03",Karrmann
9/26/2004,77.011,hoop,Cp,115111337A,R,M,worn,276,136,93,46,122,UPR,"south cove",NULL,"PR5 abnormal",Karrmann
8/30/2003,78.001,Hoop,Cp,115112144A,N,F,9+,98,87,72,35,80,ALM,BMI,NULL,"turtles surface basking",Karrmann
9/14/2003,78.002,Hoop,Cp,115112144A,R,F,8,94,87,73,35,81,ALM,BMI,NULL,"specimens redder in pigment today than in past - more like TMR turtles surfacing basking and out on logs in large numbers",Karrmann
6/21/2004,78.003,snrkl,Cp,115112144A,R,F,6+,112,91,75,36,84,ALM,BMI,NULL,NULL,Karrmann
6/27/2004,78.004,bask-m,Cp,115112144A,R,F,5,113,91,74,37,85,ALM,BMI,NULL,"TWO TURTLES WERE ON TOP OF EACH END",Karrmann
7/7/2004,78.005,bask-m,Cp,115112144A,R,F,4,111,92,76,36,86,ALM,BMI,NULL,NULL,Karrmann
7/17/2004,78.006,Hoop,Cp,115112144A,R,F,5,113,93,76,37,86,ALM,DAM,NULL,"2 SUNFISH/ I FISH; SHEDDING","Karrmann/ Schuster"
9/16/2004,78.007,bask-p,Cp,115112144A,R,F,6,121,95,79,37,90,ALM,BMI,NULL,NULL,Karrmann
7/18/2006,78.008,Hoop,Cp,115112144A,R,F,J,180,110,85,40,100,ALM,"Dam -- NW Corner",NULL,NULL,NULL
7/22/2006,78.009,Hoop,Cp,115112144A,R,F,5,173,108,84,40,102,ALM,NULL,NULL,NULL,"WS - Team 2"
8/29/2006,78.01,Hoop,Cp,115112144A,R,F,NULL,220,111,86,43,106,ALM,NULL,NULL,RAINING,ws
7/15/2008,78.011,Hoop,Cp,115112144A,R,F,A,280,127,90,45,119,ALM,"Sweet Spot",NULL,NULL,NULL
8/5/2008,78.012,Hoop,Cp,115112144A,R,F,A,270,127,93,46,120,ALM,Cove,NULL,NULL,NULL
5/25/2010,78.013,Hoop,Cp,115112144A,R,NULL,NULL,291,132,95,48,124,ALM,Cove,NULL,NULL,"NYU-ECE w/ MM"
6/15/2010,78.014,Hoop,Cp,115112144A,R,F,5+,304,131,101,46,123,ALM,"Dam Cove",NULL,NULL,MV
6/22/2010,78.015,Hoop,Cp,115112144A,R,F,W,300,134,102,46,124,ALM,"Dam Cove",NULL,"leech on carapace",WS
7/14/2010,78.016,Hoop,Cp,115112144A,R,M,W,157,108,80,38,128,ALM,"Boat Launch",NULL,"leech on shell- aggressive",MM
7/29/2010,78.017,Hoop,Cp,115112144A,R,F,6,309,136,103,49,128,ALM,Damside,NULL,NULL,NULL
6/15/2011,78.018,Hoop,Cp,115112144A,R,F,6+,342,138,104,49,129,ALM,dock,NULL,NULL,"MV- JS. SG"
6/19/1997,79.001,Hoop,Cp,115112246A,N,F,W,350,NULL,NULL,NULL,133,ALM,NULL,NULL,"Notches not recorded at time of capture; filled in from data with matching PIT",McKinsey
9/6/2001,79.002,Hoop,Cp,115112246A,R,F,NULL,336,140,103,NULL,NULL,ALM,NULL,NULL,"Notches not recorded at time of capture; filled in from data with matching PIT",Munson
9/15/2002,79.003,bask-p,Cp,115112246A,R,F,W,357,143,109,49,133,ALM,BMI,NULL,"L10-11 damaged- possibly notches; were not freshened",Karrmann
6/27/2004,79.004,snrkl,Cp,115112246A,R,F,W,341,142,111,47,134,ALM,BMI,NULL,-,Karrmann
7/5/2004,79.005,Hoop,Cp,115112246A,R,F,W,332,143,111,47,134,ALM,BMI,NULL,"reset (Blood)",Karrmann
7/27/2004,79.006,bask-m,Cp,115112246A,R,F,W,344,144,112,47,134,ALM,BMI,NULL,"DAMAGE L10-11",Karrmann
